# depth, classical estimates, classical std, classical error, quantum estimates, quantum std, quantum error, true probability
0.000000000000000000e+00,7.007016978978975656e-05,8.349787254678561451e-04,2.992983021021027533e-05,9.999999999999999452e-21,1.505385650144952217e-36,1.000000000000000183e-04,1.000000000000000319e-04
1.000000000000000000e+00,1.252173165271270770e-04,5.685780910534111521e-04,2.521731652712704507e-05,9.997645674125341315e-05,9.952509345757022414e-04,2.354325874661875040e-08,1.000000000000000319e-04
4.000000000000000000e+00,9.298508440720722158e-05,2.644179121970583130e-04,7.014915592792810321e-06,1.062308564465843107e-04,3.307841632821624587e-04,6.230856446584278783e-06,1.000000000000000319e-04
